11086433578,Software Update,Update software,I want to update the software,null,IJC13,IJC12,C,true
21238485402,Software Update,Update software,I want to update the software,null,IJC13,IJC12,C,true
31321942806,Software Update,Update software,I want to update the software,null,IJC13,IJC12,D,true
41321942809,New Device,Update software,Pixel 8,New Device,IJC13,IJC12,C,true
51043642752,Repair,Charge issue,My laptop is not charging,null,IJC13,IJC12,C,true
61634043038,Software Update,Need New Software,Request for software update to the latest version.,null,IJC13,IJC12,C,true
71072838179,Repair,repair,jjkks,null,IJC13,IJC12,D,true
81312458919,Software Update,new,Request for software update to the latest version.,null,IJC13,IJC12,P,false
91769557232,Repair,Heat,Heating issue,null,IJC14,IJC16,P,false
101101399306,Software Update,NEW UPDATE,Request for software update to the latest version.,null,IJC15,IJC12,C,true
111563320999,Software Update,UB,Request for software update to the latest version.,null,IJC13,IJC12,P,false
121485685320,Repair,HEAT,MOBILE HEATING,null,IJC14,IJC12,P,false
131133464873,New Device,Need mobile,Samsung S23,Mobile,IJC15,IJC12,P,false
131454948019,New Device,New Device,vivo X90 Pro Plus,Mobile,IJC15,IJC12,P,false
141153094842,New Device,New device,ASUS ROG Strix G16,Laptop,IJC13,IJC21,P,false
